,HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,Deck,Num,Side
0,2,0,1,39,0,0.0,0.0,0.0,0.0,0.0,False,2,0,1
1,1,0,1,24,0,109.0,9.0,25.0,549.0,44.0,True,6,0,0
2,2,0,1,58,1,43.0,3576.0,0.0,6715.0,49.0,False,1,0,0
3,2,0,1,33,0,0.0,1283.0,371.0,3329.0,193.0,False,1,0,0
4,1,0,1,16,0,303.0,70.0,151.0,565.0,2.0,True,6,1,0
5,1,0,2,44,0,0.0,483.0,0.0,291.0,0.0,True,6,0,1
6,1,0,1,26,0,42.0,1539.0,3.0,0.0,0.0,True,6,2,0
7,1,1,1,28,0,0.0,0.0,0.0,0.0,306.7894819713431,True,7,0,0
8,1,0,1,35,0,0.0,785.0,17.0,216.0,0.0,True,6,3,0
9,2,1,3,14,0,0.0,0.0,0.0,0.0,0.0,True,2,1,1
10,2,1,1,34,0,0.0,0.0,174.90603284902085,0.0,0.0,True,2,1,1
11,2,0,3,45,0,39.0,7295.0,589.0,110.0,124.0,True,2,1,1
12,3,0,1,32,0,73.0,0.0,1123.0,0.0,113.0,True,6,1,1
13,1,0,1,48,0,719.0,1.0,65.0,0.0,24.0,False,7,1,0
14,1,0,1,28,0,8.0,974.0,12.0,2.0,7.0,True,6,2,1
15,1,0,1,31,0,32.0,0.0,876.0,0.0,0.0,False,6,82,0
16,3,0,3,27,0,1286.0,122.0,174.90603284902085,0.0,0.0,False,6,3,1
17,1,0,3,24,0,0.0,1.0,0.0,0.0,637.0,False,6,4,1
18,3,1,1,45,0,0.0,0.0,0.0,0.0,0.0,True,6,5,1
19,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,True,7,0,1
20,1,0,3,14,0,412.0,0.0,1.0,0.0,679.0,False,6,6,1
21,1,1,1,1,0,0.0,0.0,0.0,0.0,0.0,False,5,0,0
22,1,1,3,49,0,0.0,0.0,0.0,0.0,0.0,False,5,0,0
23,1,1,3,29,0,0.0,0.0,174.90603284902085,0.0,0.0,False,5,0,0
24,1,0,1,10,0,0.0,0.0,0.0,0.0,0.0,True,5,0,0
25,1,1,2,1,0,222.89785157787045,0.0,0.0,0.0,0.0,False,5,0,0
26,1,0,1,7,0,0.0,0.0,0.0,0.0,0.0,False,5,0,0
27,3,0,1,21,0,980.0,2.0,69.0,0.0,0.0,False,4,0,1
28,2,1,1,62,0,0.0,0.0,174.90603284902085,0.0,0.0,True,3,2,0
29,1,0,1,15,0,0.0,225.0,0.0,998.0,0.0,False,6,6,0
30,2,0,3,34,0,22.0,6073.0,0.0,1438.0,328.0,False,3,0,1
31,3,0,1,43,0,1125.0,0.0,136.0,48.0,0.0,False,6,8,1
32,1,0,1,32,0,0.0,850.0,81.0,437.0,453.0,False,7,4,0
33,3,0,1,47,0,214.0,0.0,1411.0,0.0,1229.0,True,6,9,1
34,3,0,1,2,0,0.0,0.0,0.0,0.0,0.0,True,6,9,1
35,3,0,1,20,0,222.89785157787045,0.0,1750.0,990.0,0.0,True,6,9,1
36,2,1,3,28,0,0.0,0.0,0.0,0.0,0.0,True,4,1,0
37,3,0,3,23,0,784.0,964.0,0.0,951.0,0.0,False,4,1,1
38,1,0,3,15,0,0.0,492.0,48.0,20.0,401.0,False,6,8,0
39,1,0,3,20,0,554.0,195.0,0.0,2606.0,0.0,False,6,10,0
40,1,1,3,30,0,0.0,0.0,174.90603284902085,0.0,0.0,False,7,1,1
41,1,1,1,17,0,0.0,0.0,0.0,0.0,0.0,True,7,2,1
42,2,0,1,45,0,0.0,164.0,45.0,2511.0,855.0,False,2,3,1
43,1,1,1,55,0,0.0,0.0,0.0,0.0,0.0,False,7,3,1
44,1,1,3,4,0,0.0,0.0,0.0,0.0,0.0,True,7,3,1
45,1,1,2,21,0,0.0,0.0,0.0,0.0,0.0,True,7,3,1
46,3,0,1,21,0,970.0,0.0,180.0,0.0,64.0,False,6,10,1
47,3,1,1,19,0,0.0,0.0,0.0,0.0,0.0,True,6,10,1
48,1,0,3,35,0,790.0,0.0,0.0,308.4769036733407,0.0,False,5,1,0
49,1,0,1,56,0,0.0,112.0,0.0,1379.0,127.0,False,5,2,0
50,1,0,1,28,0,4.0,0.0,2.0,4683.0,0.0,False,7,6,0
51,1,0,1,25,0,0.0,0.0,1938.0,0.0,1.0,True,6,11,0
52,2,0,1,2,0,0.0,0.0,0.0,0.0,0.0,True,1,1,0
53,2,1,1,38,0,0.0,0.0,0.0,0.0,0.0,True,1,1,0
54,2,0,1,27,0,279.0,605.0,3374.0,286.0,3.0,True,1,1,0
55,1,1,2,36,0,0.0,0.0,0.0,0.0,0.0,False,7,7,0
56,1,0,1,22,0,45.0,1096.0,148.0,1377.0,1.0,False,6,12,0
57,1,0,1,62,0,0.0,592.0,0.0,17.0,25.0,False,6,13,0
58,3,1,1,15,0,0.0,0.0,0.0,0.0,0.0,True,6,14,0
59,1,1,1,33,0,0.0,0.0,174.90603284902085,0.0,0.0,True,5,3,0
60,1,0,1,62,0,1.0,153.0,197.0,0.0,460.0,False,7,6,1
61,1,1,2,0,0,0.0,0.0,0.0,0.0,0.0,True,7,10,0
62,1,0,1,18,0,1.0,258.0,446.0,0.0,0.0,True,7,10,0
63,1,0,3,21,0,1946.0,37.0,0.0,0.0,24.0,False,6,15,0
64,3,0,1,28,0,793.0,0.0,2.0,253.0,0.0,False,5,4,0
65,1,0,1,42,0,887.0,0.0,9.0,6.0,0.0,True,6,16,0
66,1,0,1,19,0,190.0,0.0,5.0,1.0,726.0,False,6,13,1
67,1,0,1,17,0,16.0,2165.0,0.0,0.0,52.0,False,6,14,1
68,1,0,1,14,0,0.0,1.0,0.0,0.0,1063.0,False,6,17,0
69,3,0,2,37,0,46.0,83.0,738.0,0.0,12.0,False,4,3,1
70,2,0,1,42,0,1.0,8397.0,0.0,0.0,506.0,True,3,3,0
71,3,0,1,27,0,147.0,0.0,1018.0,0.0,0.0,True,6,18,0
72,3,0,1,28,0,14.0,0.0,1295.0,0.0,0.0,True,6,15,1
73,2,0,1,38,0,0.0,5840.0,0.0,321.0,9654.0,False,3,4,0
74,1,1,1,13,0,0.0,0.0,0.0,0.0,0.0,False,7,13,0
75,3,0,1,42,0,7406.0,0.0,0.0,0.0,0.0,False,6,16,1
76,3,1,1,2,0,0.0,0.0,0.0,0.0,0.0,True,6,16,1
77,3,0,1,8,0,0.0,0.0,0.0,0.0,0.0,True,6,16,1
78,1,0,1,24,0,688.0,0.0,0.0,0.0,17.0,True,7,14,0
79,2,1,1,40,0,0.0,0.0,0.0,0.0,0.0,True,3,5,0
80,1,0,1,43,0,211.0,0.0,0.0,638.0,513.0,False,6,17,1
81,3,1,2,45,0,0.0,0.0,0.0,0.0,0.0,True,5,5,0
82,1,1,1,35,0,0.0,0.0,0.0,0.0,0.0,True,7,15,0
83,1,1,1,26,0,222.89785157787045,0.0,0.0,0.0,0.0,True,7,16,0
84,1,0,1,27,0,1.0,697.0,31.0,188.0,0.0,False,6,20,0
85,1,0,1,19,0,0.0,0.0,670.0,1.0,34.0,False,7,9,1
86,1,1,1,0,0,0.0,0.0,174.90603284902085,0.0,0.0,True,7,9,1
87,1,1,1,3,0,0.0,0.0,0.0,0.0,0.0,True,7,9,1
88,2,0,1,54,0,0.0,1208.0,0.0,3.0,637.0,False,1,2,0
89,1,0,1,26,0,0.0,856.0,5.0,32.0,0.0,False,7,11,1
90,1,0,1,26,0,0.0,2811.0,957.0,0.0,87.0,True,7,11,1
91,1,0,2,23,0,311.0,427.0,526.0,37.0,0.0,False,6,19,1
92,1,0,1,2,0,0.0,0.0,0.0,0.0,0.0,True,7,12,1
93,3,1,1,31,0,0.0,0.0,0.0,0.0,0.0,True,6,82,0
94,1,0,1,18,0,0.0,0.0,0.0,830.0,91.0,False,6,23,0
95,1,0,1,24,0,0.0,451.96167494677076,0.0,0.0,17.0,True,6,24,0
96,1,1,3,9,0,0.0,0.0,0.0,0.0,0.0,True,7,18,0
97,1,1,1,6,0,0.0,0.0,0.0,0.0,0.0,False,7,18,0
98,1,0,1,27,0,0.0,0.0,570.0,2.0,131.0,False,6,21,1
99,3,0,1,21,0,1743.0,5.0,17.0,0.0,0.0,False,4,2,0
100,1,1,1,23,0,0.0,0.0,0.0,0.0,0.0,False,7,19,0
101,1,0,1,31,0,562.0,0.0,326.0,0.0,0.0,False,7,19,0
102,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,True,7,19,0
103,2,0,1,32,0,0.0,410.0,6.0,3929.0,764.0,False,6,82,0
104,2,0,1,40,0,0.0,331.0,0.0,0.0,1687.0,False,2,5,1
105,2,0,1,42,0,2209.0,11418.0,0.0,1868.0,445.0,True,2,5,1
106,2,1,1,28,0,0.0,0.0,0.0,0.0,0.0,True,2,5,1
107,2,1,1,29,0,0.0,0.0,0.0,0.0,0.0,True,5,6,0
108,2,0,3,48,1,0.0,2537.0,87.0,17.0,13.0,True,2,1,0
109,1,0,1,64,0,0.0,0.0,804.0,0.0,0.0,True,6,23,1
110,1,0,1,27,0,82.0,157.0,429.0,238.0,1.0,False,7,20,0
111,3,0,1,26,0,0.0,0.0,0.0,0.0,306.7894819713431,True,6,24,1
112,2,0,1,33,0,1.0,2223.0,0.0,12.0,404.0,True,4,4,1
113,1,0,1,39,0,0.0,2344.0,0.0,65.0,6898.0,False,1,0,1
114,2,1,1,13,0,0.0,0.0,0.0,0.0,0.0,True,1,0,1
115,3,1,1,24,0,0.0,0.0,0.0,0.0,306.7894819713431,True,6,25,1
116,1,0,1,29,0,0.0,0.0,0.0,699.0,74.0,False,7,21,0
117,1,0,1,18,0,55.0,597.0,49.0,0.0,1.0,False,6,27,1
118,3,1,1,67,0,0.0,0.0,0.0,0.0,0.0,True,6,27,0
119,3,0,1,35,0,701.0,0.0,296.0,0.0,25.0,False,5,7,0
120,3,0,1,61,1,2353.0,334.0,9.0,316.0,2.0,False,4,3,0
121,3,0,1,45,0,2103.0,6.0,0.0,0.0,0.0,False,5,8,0
122,1,1,2,22,0,0.0,0.0,174.90603284902085,0.0,0.0,True,7,22,0
123,3,1,1,19,0,0.0,0.0,0.0,0.0,0.0,True,6,29,0
124,3,0,1,36,0,2738.0,0.0,0.0,0.0,0.0,False,4,5,0
125,1,0,1,19,0,0.0,14.0,730.0,0.0,0.0,True,7,17,1
126,1,0,2,47,0,97.0,418.0,126.0,25.0,55.0,False,7,23,0
127,1,1,1,13,0,0.0,0.0,0.0,0.0,0.0,True,7,18,1
128,1,0,1,34,0,0.0,22.0,0.0,564.0,207.0,False,5,5,1
129,2,1,3,35,0,0.0,0.0,0.0,0.0,0.0,True,3,6,0
130,1,1,1,24,0,0.0,0.0,0.0,0.0,0.0,True,7,19,1
131,1,0,1,26,0,440.0,0.0,0.0,0.0,462.0,False,6,29,1
132,3,0,1,31,0,222.89785157787045,0.0,97.0,0.0,0.0,False,6,30,1
133,1,0,1,20,0,0.0,420.0,210.0,0.0,0.0,True,6,31,0
134,1,0,1,56,0,0.0,0.0,0.0,0.0,0.0,False,7,25,0
135,1,1,1,50,0,0.0,0.0,0.0,0.0,0.0,True,7,26,0
136,3,0,1,42,0,1072.0,0.0,10.0,0.0,76.0,False,6,31,1
137,1,1,3,28,0,0.0,0.0,0.0,0.0,0.0,True,7,27,0
138,1,1,3,38,0,0.0,0.0,0.0,0.0,0.0,False,7,20,1
139,1,0,1,41,0,0.0,0.0,0.0,0.0,607.0,False,6,32,1
140,1,0,1,22,0,4119.0,0.0,0.0,0.0,61.0,False,7,22,1
141,2,1,1,26,0,0.0,0.0,0.0,0.0,0.0,True,2,8,1
142,2,1,1,17,0,0.0,0.0,0.0,0.0,0.0,True,2,8,1
143,1,0,1,57,0,50.0,1688.0,0.0,308.4769036733407,135.0,True,7,28,0
144,1,1,2,17,0,0.0,0.0,0.0,0.0,0.0,False,7,28,0
145,3,1,1,35,0,0.0,0.0,0.0,0.0,0.0,True,6,37,1
146,3,1,1,13,0,0.0,0.0,0.0,0.0,0.0,True,6,35,0
147,3,0,1,27,0,1365.0,0.0,48.0,22.0,137.0,False,6,35,0
148,1,1,1,31,0,0.0,0.0,0.0,0.0,0.0,False,7,23,1
149,1,0,1,24,0,0.0,0.0,0.0,221.0,567.0,False,5,10,0
150,1,1,2,19,0,0.0,0.0,0.0,0.0,0.0,True,7,30,0
151,1,1,1,32,0,0.0,0.0,0.0,0.0,0.0,True,7,24,1
152,1,0,1,58,0,0.0,985.0,0.0,5.0,0.0,True,5,11,0
153,1,0,3,21,0,287.0,0.0,16.0,115.0,175.0,False,6,38,1
154,2,0,1,38,0,0.0,10346.0,1.0,14970.0,2111.0,False,2,2,0
155,3,0,1,38,0,3414.0,0.0,161.0,28.0,119.0,False,4,6,0
156,1,0,1,19,0,1.0,219.0,673.0,2.0,11.0,True,7,26,1
157,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,False,7,26,1
158,1,0,1,3,0,0.0,0.0,0.0,0.0,0.0,True,7,26,1
159,1,0,1,20,0,0.0,0.0,3.0,299.0,92.0,False,7,27,1
160,2,1,1,24,0,0.0,0.0,0.0,0.0,0.0,True,3,3,1
161,1,0,1,37,0,17.0,146.0,426.0,0.0,232.0,True,6,36,0
162,1,0,1,25,0,62.0,0.0,0.0,0.0,956.0,False,7,28,1
163,1,1,1,56,0,0.0,0.0,0.0,0.0,0.0,True,7,31,0
164,1,0,3,49,0,84.0,3.0,401.0,202.0,98.0,False,5,8,1
165,1,1,3,11,0,0.0,0.0,0.0,0.0,0.0,False,7,32,0
166,1,1,1,1,0,0.0,0.0,0.0,0.0,0.0,True,7,29,1
167,1,0,1,8,0,0.0,0.0,0.0,0.0,0.0,False,7,29,1
168,1,0,1,39,0,0.0,0.0,10.0,898.0,0.0,False,7,29,1
169,3,1,1,2,0,0.0,0.0,0.0,0.0,0.0,True,6,41,1
170,3,0,1,23,0,222.89785157787045,0.0,8.0,1072.0,0.0,False,6,41,1
171,3,0,1,0,0,0.0,0.0,0.0,0.0,0.0,True,6,41,1
172,3,0,1,39,0,406.0,0.0,867.0,0.0,0.0,True,6,42,1
173,3,0,2,25,0,1052.0,0.0,719.0,0.0,7.0,False,4,5,1
174,2,0,1,36,0,0.0,972.0,0.0,795.0,575.0,False,3,5,1
175,1,0,2,52,0,0.0,0.0,0.0,0.0,0.0,True,7,30,1
176,1,1,1,18,0,0.0,0.0,0.0,0.0,0.0,False,7,33,0
177,1,1,1,15,0,0.0,0.0,0.0,0.0,0.0,True,7,31,1
178,2,1,1,35,0,0.0,0.0,0.0,0.0,0.0,True,2,3,0
179,2,1,1,47,0,0.0,0.0,0.0,0.0,0.0,True,2,3,0
180,2,1,3,45,0,0.0,0.0,0.0,0.0,0.0,True,2,9,1
181,2,0,3,28,0,0.0,2433.0,174.90603284902085,878.0,443.0,True,1,2,1
182,2,1,1,51,0,0.0,0.0,0.0,0.0,0.0,True,3,8,0
183,1,0,1,29,0,0.0,2.0,66.0,0.0,705.0,False,7,34,0
184,2,0,3,28,0,2.0,1720.0,12.0,1125.0,122.0,True,3,9,0
185,1,1,2,19,0,0.0,0.0,0.0,0.0,0.0,False,7,32,1
186,1,1,3,24,0,0.0,0.0,174.90603284902085,0.0,0.0,True,4,6,1
187,3,0,1,29,0,902.0,1.0,137.0,0.0,0.0,True,6,44,1
188,3,1,1,11,0,0.0,0.0,0.0,0.0,0.0,True,6,44,1
189,3,0,1,17,0,848.0,0.0,307.0,182.0,0.0,False,6,44,1
190,1,0,1,13,0,192.0,0.0,0.0,51.0,739.0,False,5,9,1
191,1,0,1,35,0,147.0,188.0,0.0,10.0,387.0,False,6,45,1
192,1,0,1,21,0,367.0,281.0,0.0,0.0,146.0,False,6,46,1
193,1,0,3,21,0,0.0,56.0,0.0,0.0,1918.0,False,6,40,0
194,1,0,1,38,0,1517.0,0.0,0.0,27.0,0.0,False,6,47,1
195,1,1,1,19,0,0.0,0.0,0.0,0.0,0.0,True,7,36,1
196,1,1,1,2,0,0.0,0.0,0.0,0.0,0.0,True,7,37,1
197,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,True,7,37,1
198,1,1,1,13,0,0.0,0.0,0.0,0.0,0.0,False,7,37,1
199,1,0,1,25,0,122.0,84.0,174.90603284902085,0.0,0.0,False,5,10,1
200,1,0,1,16,0,0.0,3.0,0.0,0.0,1099.0,False,6,48,1
201,1,0,3,1,0,0.0,0.0,0.0,0.0,0.0,False,7,37,1
202,1,1,1,15,0,0.0,0.0,0.0,0.0,0.0,True,7,37,1
203,3,0,3,21,0,2237.0,0.0,119.0,0.0,0.0,False,5,13,0
204,3,0,1,23,0,1215.0,80.0,1.0,2.0,0.0,False,5,13,0
205,3,0,1,33,0,1933.0,12.0,188.0,1.0,0.0,False,5,13,0
206,3,1,1,21,0,0.0,0.0,0.0,0.0,0.0,True,5,13,0
207,3,0,1,41,0,1230.0,0.0,301.0,43.0,1023.0,False,5,13,0
208,3,0,1,16,0,915.0,0.0,221.0,234.0,0.0,False,5,13,0
209,3,1,1,42,0,0.0,0.0,0.0,0.0,0.0,False,5,13,0
210,3,0,1,20,0,1406.0,0.0,0.0,11.0,0.0,False,6,41,0
211,3,1,1,24,0,0.0,0.0,0.0,0.0,0.0,True,6,41,0
212,3,1,1,16,0,0.0,0.0,0.0,0.0,0.0,True,5,14,0
213,1,0,1,21,0,0.0,2.0,665.0,0.0,9.0,False,7,35,0
214,3,0,1,32,1,181.0,0.0,5.0,1634.0,0.0,False,6,42,0
215,1,1,2,58,0,0.0,0.0,0.0,0.0,0.0,True,7,38,1
216,1,0,1,24,0,4.0,7.0,0.0,713.0,79.0,False,6,43,0
217,3,0,1,30,0,85.0,0.0,1.0,1720.0,0.0,False,6,44,0
218,1,1,2,27,0,0.0,451.96167494677076,0.0,0.0,0.0,False,7,36,0
219,3,0,1,32,0,56.0,0.0,256.0,1438.0,0.0,False,6,45,0
220,1,0,1,43,0,222.89785157787045,888.0,0.0,0.0,0.0,False,6,50,1
221,2,1,1,42,0,0.0,0.0,0.0,0.0,0.0,True,2,11,1
222,3,0,1,37,0,637.0,0.0,0.0,92.0,319.0,False,6,82,0
223,3,1,1,35,0,0.0,0.0,0.0,0.0,0.0,True,6,52,1
224,2,0,3,33,0,0.0,1249.0,0.0,4812.0,1116.0,False,5,11,1
225,1,0,1,18,0,313.0,1.0,691.0,283.0,0.0,False,6,46,0
226,1,1,1,21,0,0.0,0.0,0.0,0.0,0.0,False,7,37,0
227,3,1,1,43,0,0.0,0.0,0.0,0.0,0.0,True,6,82,0
228,3,1,3,14,0,0.0,0.0,0.0,0.0,0.0,True,6,47,0
229,2,0,3,46,0,0.0,3571.0,0.0,0.0,7.0,True,3,6,1
230,2,0,1,33,0,0.0,86.0,796.0,584.0,10912.0,False,3,6,1
231,3,0,1,21,0,2947.0,0.0,287.0,27.0,0.0,False,4,8,1
232,2,0,1,33,0,0.0,1.0,0.0,8620.0,1063.0,False,3,10,0
233,1,1,2,47,0,222.89785157787045,0.0,0.0,0.0,0.0,False,7,38,0
234,1,1,3,54,0,0.0,0.0,0.0,0.0,0.0,True,3,11,0
235,1,0,1,30,0,335.0,695.0,541.0,0.0,0.0,False,6,53,1
236,1,0,1,29,0,272.0,615.0,0.0,0.0,1.0,False,7,42,1
237,1,0,1,21,0,702.0,172.0,408.0,2.0,6.0,True,6,54,1
238,2,1,1,24,0,0.0,0.0,0.0,0.0,0.0,True,1,3,0
239,3,0,3,21,0,1664.0,0.0,174.90603284902085,0.0,0.0,False,6,49,0
240,3,1,1,60,0,0.0,0.0,0.0,0.0,0.0,True,6,49,0
241,1,0,1,22,0,0.0,0.0,313.0,299.0,92.0,False,6,50,0
242,2,0,1,26,0,0.0,4810.0,0.0,981.0,2054.0,False,5,16,0
243,1,0,1,26,0,66.0,29.0,0.0,0.0,803.0,False,6,56,1
244,1,1,1,28,0,0.0,0.0,0.0,0.0,0.0,True,7,43,1
245,2,1,1,39,0,0.0,0.0,0.0,308.4769036733407,0.0,True,4,8,0
246,1,0,1,13,0,118.0,0.0,0.0,754.0,1.0,False,6,51,0
247,1,0,3,47,0,0.0,231.0,592.0,0.0,0.0,True,6,52,0
248,1,0,1,63,0,0.0,25.0,128.0,0.0,1240.0,False,6,59,1
249,2,1,3,28,0,0.0,0.0,0.0,0.0,0.0,True,4,9,0
250,1,0,3,50,0,44.0,2390.0,0.0,53.0,0.0,True,6,61,1
251,1,0,1,35,0,0.0,0.0,0.0,888.0,306.7894819713431,False,6,82,0
252,1,0,1,45,0,0.0,97.0,0.0,14.0,333.0,False,7,45,1
253,1,0,1,19,0,0.0,0.0,2078.0,0.0,0.0,True,6,63,1
254,1,0,1,21,0,0.0,918.0,0.0,0.0,0.0,True,6,54,0
255,1,1,2,29,0,0.0,0.0,0.0,0.0,0.0,True,7,46,1
256,1,0,1,22,0,146.0,654.0,1.0,0.0,2.0,True,6,64,1
257,2,1,1,14,0,0.0,0.0,0.0,0.0,0.0,True,5,16,1
258,2,1,3,42,0,0.0,0.0,0.0,0.0,0.0,True,5,16,1
259,1,0,3,57,0,3.0,1281.0,29.0,162.0,13.0,False,6,65,1
260,2,1,3,39,0,0.0,0.0,0.0,0.0,0.0,True,6,82,0
261,2,0,1,28,0,0.0,587.0,32.0,6.0,1460.0,False,2,12,1
262,1,0,3,19,0,0.0,0.0,0.0,0.0,828.0,False,6,55,0
263,2,1,3,19,0,0.0,0.0,0.0,0.0,0.0,True,3,12,0
264,2,0,3,26,0,0.0,4458.0,0.0,1157.0,262.0,True,2,7,0
265,2,1,1,17,0,0.0,0.0,0.0,0.0,0.0,True,2,7,0
266,2,0,1,43,0,0.0,0.0,0.0,0.0,0.0,True,2,7,0
267,2,0,3,9,0,0.0,0.0,0.0,0.0,0.0,True,2,7,0
268,2,0,1,40,0,0.0,6500.0,88.0,1090.0,0.0,True,4,10,0
269,2,1,1,50,0,0.0,0.0,0.0,308.4769036733407,0.0,True,2,8,0
270,1,0,1,24,0,90.0,2.0,1324.0,17.0,0.0,True,7,47,1
271,2,1,3,57,0,0.0,0.0,0.0,0.0,0.0,True,1,3,1
272,1,1,1,16,0,0.0,0.0,0.0,0.0,0.0,False,6,82,0
273,1,0,1,23,0,0.0,0.0,15.0,0.0,1370.0,False,6,67,1
274,1,1,1,23,0,0.0,0.0,0.0,0.0,0.0,True,7,41,0
275,2,0,1,28,0,0.0,422.0,0.0,1851.0,5166.0,False,5,18,0
276,2,0,3,23,0,0.0,584.0,0.0,20.0,2469.0,False,3,7,1
277,1,0,1,23,0,368.0,175.0,259.0,1.0,101.0,False,5,19,0
278,1,0,1,18,0,0.0,0.0,1359.0,0.0,0.0,True,6,59,0
279,1,0,1,18,0,1194.0,0.0,157.0,6.0,0.0,False,6,60,0
280,2,0,1,67,0,222.89785157787045,230.0,0.0,4476.0,241.0,False,6,82,0
281,1,0,2,60,0,7.0,540.0,1.0,0.0,4.0,True,6,68,1
282,1,1,3,28,0,0.0,0.0,174.90603284902085,0.0,0.0,True,7,50,1
283,1,0,3,49,0,331.0,0.0,0.0,318.0,0.0,True,6,68,1
284,1,0,3,0,0,0.0,0.0,0.0,0.0,0.0,True,7,50,1
285,1,0,3,26,0,386.0,0.0,74.0,0.0,1330.0,False,7,51,1
286,1,1,2,35,0,0.0,0.0,0.0,0.0,0.0,True,7,42,0
287,2,0,1,24,0,0.0,2628.0,174.90603284902085,170.0,0.0,True,2,9,0
288,2,1,1,20,0,0.0,0.0,0.0,0.0,306.7894819713431,True,2,9,0
289,1,0,1,18,0,0.0,2.0,0.0,308.4769036733407,0.0,False,7,44,0
290,1,0,1,21,0,0.0,5.0,3.0,0.0,306.7894819713431,False,7,44,0
291,1,0,1,59,1,1018.0,0.0,209.0,0.0,0.0,False,6,61,0
292,1,1,2,13,0,0.0,0.0,0.0,0.0,0.0,False,7,45,0
293,1,1,3,43,0,0.0,0.0,0.0,0.0,0.0,False,7,53,1
294,1,1,1,29,0,0.0,0.0,0.0,0.0,0.0,False,7,47,0
295,1,0,1,19,0,17.0,0.0,784.0,0.0,2.0,True,6,82,0
296,2,0,1,2,0,0.0,0.0,0.0,0.0,0.0,True,3,14,0
297,2,0,1,32,0,247.0,4651.0,0.0,46.0,202.0,True,3,14,0
298,2,0,1,33,0,443.0,317.0,0.0,148.0,1260.0,False,3,14,0
299,1,0,1,25,0,0.0,0.0,251.0,0.0,552.0,False,6,72,1
300,3,1,3,29,0,0.0,0.0,0.0,0.0,0.0,True,6,73,1
301,3,0,1,29,0,5715.0,2.0,211.0,1476.0,0.0,False,6,62,0
302,1,0,1,44,0,695.0,1.0,16.0,0.0,0.0,False,6,74,1
303,3,1,3,2,0,0.0,0.0,0.0,0.0,0.0,True,6,63,0
304,3,0,1,19,0,417.0,349.0,634.0,3.0,1057.0,True,6,63,0
305,3,0,3,0,0,0.0,0.0,0.0,0.0,0.0,True,6,63,0
306,1,1,1,18,0,0.0,0.0,174.90603284902085,0.0,0.0,True,7,48,0
307,2,1,3,38,0,0.0,0.0,0.0,0.0,0.0,True,2,10,0
308,1,1,2,5,0,0.0,0.0,0.0,0.0,0.0,False,7,57,1
309,1,0,2,31,0,121.0,0.0,0.0,274.0,907.0,False,6,76,1
310,3,1,1,30,0,0.0,0.0,0.0,0.0,0.0,False,5,21,0
311,1,1,3,15,0,0.0,0.0,0.0,0.0,0.0,True,7,59,1
312,3,0,1,27,0,434.0,0.0,1434.0,0.0,0.0,False,6,64,0
313,3,0,1,22,0,142.0,2876.0,202.0,3.0,0.0,True,4,12,1
314,3,0,1,36,0,520.0,0.0,1865.0,0.0,0.0,True,6,82,0
315,1,1,2,14,0,0.0,0.0,0.0,0.0,0.0,True,7,60,1
316,3,0,1,23,0,2001.0,0.0,2975.0,0.0,0.0,False,6,78,1
317,1,1,1,18,0,0.0,0.0,0.0,0.0,0.0,True,6,82,0
318,2,1,3,36,0,0.0,0.0,0.0,0.0,0.0,True,2,15,1
319,1,0,1,41,0,222.89785157787045,1198.0,0.0,124.0,572.0,False,6,65,0
